,0,1,2,3,4,5,6,7,8,9,cluster
No. 1_L_1.5 _200 _02-18-2025/0001.png,15.041871660184178,2.1483671950984853,-4.418589247230724,-3.3061906174966507,-0.9968200289459448,1.0103024333787838,-3.60418720552717,0.27587838289526,-1.0889727536341691,-2.2900055221208304,10
No. 1_L_1.5 _200 _02-18-2025/0002.png,15.03426676306482,2.169275374687876,-4.592197014183101,-3.419906689642244,-1.0342710233948464,0.8332950901771863,-3.4880800140950203,0.4754316689546405,-1.226335107240636,-2.024958028711449,10
No. 1_L_1.5 _200 _02-18-2025/0003.png,15.069507727573525,2.273722891762379,-4.867276884433365,-3.3999915877638127,-1.2843401595209851,0.2672175458242813,-3.927613300085556,0.5354185405699914,-1.0367183409838852,-1.906005506620537,10
No. 1_L_1.5 _200 _02-18-2025/0004.png,14.970050470728635,2.318097918674709,-4.9186467385286665,-2.9424046351591184,-1.5461561199055458,0.1557925018880883,-3.851702876181717,1.102443198950847,-0.9787055159899608,-2.112291458787278,10
No. 1_L_1.5 _200 _02-18-2025/0005.png,15.080799322683298,2.39536802063456,-4.832548064909885,-2.540586414274174,-1.3162796870478497,0.3171534949512997,-4.156387436885684,0.9464493293826886,-1.221445614797826,-1.4869789001156355,10
No. 1_L_1.5 _200 _02-18-2025/0006.png,15.131305002617117,2.3786147626904857,-4.747572392628856,-2.407512642004992,-1.1543096382520268,0.2236677439644303,-4.234292180130133,0.8368973936169484,-1.2257144974887948,-1.4358570527019003,10
No. 1_L_1.5 _200 _02-18-2025/0007.png,15.084124793496423,2.295555985188374,-4.696240842604803,-2.6215169739985744,-1.2316543427739326,0.3161402609151,-4.224584673671467,0.6933809818083221,-0.999453616164956,-1.5704588271180029,10
No. 1_L_1.5 _200 _02-18-2025/0008.png,15.083983265065124,2.2889451098818867,-4.71716715435773,-2.754136667609309,-1.2526535424568437,0.4868648760576759,-4.164407832907525,0.7585091777527415,-1.1125496628345335,-1.6431247030487846,10
No. 1_L_1.5 _200 _02-18-2025/0009.png,15.110052031735352,2.327350691795731,-4.713394683516844,-2.801696295808131,-1.3609567147163304,0.2624129737383125,-4.29512455726754,0.8241468670806169,-1.1453061068131494,-1.4901833658630064,10
No. 1_L_1.5 _200 _02-18-2025/0010.png,15.10840333384072,2.3063706785264024,-4.709318846529367,-2.9430912440229813,-1.222835114453983,0.5398504036556151,-4.414944487833392,0.7311365764583959,-1.13565478457322,-1.5171314512388103,10
No. 1_L_1.5 _200 _02-18-2025/0011.png,15.152450709082796,2.337251362395012,-4.844193368221302,-2.743587522275733,-1.4275683920980242,0.4590146973504883,-4.281697554113849,0.8072335551363699,-1.3103980560097608,-1.4856970660151654,10
No. 1_L_1.5 _200 _02-18-2025/0012.png,15.148204484619828,2.337037613486233,-4.788437694954205,-2.721720155776607,-1.541237841621359,0.3829040109265218,-4.3012884640552365,0.8194216101442064,-1.19997264580831,-1.5641919317770951,10
No. 1_L_1.5 _200 _02-18-2025/0013.png,15.133187079434862,2.334984215526013,-4.8222790674179326,-2.845968928336032,-1.253277944344462,0.4250722921400154,-4.300830214815823,0.7937452969266827,-1.195538901741583,-1.4943210045335515,10
No. 1_L_1.5 _200 _02-18-2025/0014.png,15.092788084709928,2.3377719663879795,-4.993958601939089,-2.7639082873804317,-1.425050381634387,0.5684556241839802,-4.32458354608301,0.8012333955572535,-1.2450827963471796,-1.5593145554790304,10
No. 1_L_1.5 _200 _02-18-2025/0015.png,15.141526523174072,2.315666808959179,-4.78791346757528,-2.7619513614355773,-1.3140024470952456,0.5875852811638733,-4.412954903402435,0.8843554562809883,-1.1607608546726074,-1.6813076973056524,10
No. 1_L_1.5 _200 _02-18-2025/0016.png,15.10187071259596,2.333075127625205,-4.892557733402843,-2.7806721394859446,-1.3776499680754917,0.4405406495324699,-4.509561431061801,0.8197105612537543,-1.1169847730938185,-1.5940791699533037,10
No. 1_L_1.5 _200 _02-18-2025/0017.png,15.065175693244631,2.317966740559889,-5.012168424657182,-2.7307270634053715,-1.365427072431734,0.4982956930302613,-4.425114918793497,0.8644799602382518,-1.0828369206128037,-1.7953653318904452,10
No. 1_L_1.5 _200 _02-18-2025/0018.png,15.159016925028748,2.3529542493052844,-4.8393104971127086,-2.776837131502307,-1.5830771350250474,0.549655973513838,-4.462650280293614,0.8254281425802761,-1.2121724754008791,-1.6147704251460795,10
No. 1_L_1.5 _200 _02-18-2025/0019.png,15.150713386700914,2.3336611413351527,-4.882424444378209,-2.6452264772851577,-1.3729707851220132,0.5672793017871891,-4.536977105362821,0.936643428230794,-1.2170701178822998,-1.6474201280049048,10
No. 1_L_1.5 _200 _02-18-2025/0020.png,15.162068917367698,2.3556571592019058,-5.015147110301886,-2.624947310666905,-1.3760862639642708,0.564966583117033,-4.424740819931516,0.874524285969291,-1.2197596601324372,-1.5883494924856305,10
No. 1_L_1.5 _200 _02-18-2025/0021.png,15.166699527632732,2.3731866924633174,-4.890520473920174,-2.7044003415865103,-1.4672404987090646,0.4219686717273827,-4.533503574271235,0.8778093945263921,-1.332624685822659,-1.5432200416903896,10
No. 1_L_1.5 _200 _02-18-2025/0022.png,15.073272418978329,2.3499144522219257,-4.90641801726578,-2.707147864461449,-1.4335181387048896,0.7474084573153625,-4.426514193626998,0.8708159478162445,-1.148059769104495,-1.8317954438311723,10
No. 1_L_1.5 _200 _02-18-2025/0023.png,15.126883605748224,2.318135559225965,-4.757553028560575,-2.8401944479170727,-1.4453502498038375,0.6099133125660705,-4.358213189235583,0.9100156358341308,-1.1322551490892945,-1.7215820951721634,10
No. 1_L_1.5 _200 _02-18-2025/0024.png,15.138950895061022,2.3476496571473184,-4.750269598959626,-2.77942208585844,-1.4679532588050188,0.4286322572736534,-4.554808543939293,0.8313345534277348,-1.2507067551576834,-1.4965559139896374,10
No. 1_L_1.5 _200 _02-18-2025/0025.png,15.158214993004364,2.3671895879136624,-4.904949784134182,-2.7984516266044093,-1.4079663336269048,0.5460852824489022,-4.598455571472897,0.9920516891943594,-1.2643045989648958,-1.5409860085408928,10
No. 1_L_1.5 _200 _02-18-2025/0026.png,15.1648880584963,2.370958739989007,-4.99462972092726,-2.675089678377036,-1.4448890613577996,0.5467793643228962,-4.505188957934434,0.8866399294706104,-1.3071280693264555,-1.5068381739344905,10
No. 1_L_1.5 _200 _02-18-2025/0027.png,15.182583324999923,2.304530594490231,-4.801174201968976,-2.5630020625590437,-1.3990771834537403,0.6241175512684523,-4.228549497257406,0.8580661420325635,-1.181840120528369,-1.60711563595244,10
No. 1_L_1.5 _200 _02-18-2025/0028.png,15.158343401270711,2.3108600127841363,-4.807075899411899,-2.800862041188506,-1.3778751637275528,0.7397611712950942,-4.410474166899784,0.8252217142336269,-1.1879588995774928,-1.6176217236781292,10
No. 1_L_1.5 _200 _02-18-2025/0029.png,15.148654375198028,2.3202506803439995,-5.023660031911756,-2.619906642630493,-1.306468146594442,0.5750580807362606,-4.443861030530352,0.9247143880459464,-1.1462664903999007,-1.585528724430978,10
No. 1_L_1.5 _200 _02-18-2025/0030.png,15.105103851708094,2.319751080294374,-4.907843060380892,-2.84667501129108,-1.2484524444173823,0.651479942029745,-4.36963152357661,0.9490333735452844,-1.1428915622580065,-1.6877111872755124,10
No. 1_L_1.5 _200 _02-18-2025/0031.png,15.10244675764596,2.36524871471517,-4.995305653235544,-2.694829460598741,-1.4214028869033442,0.611003678541028,-4.44050827195144,1.120769742983458,-1.1635209798689254,-1.8047061697851687,10
No. 1_L_1.5 _200 _02-18-2025/0032.png,15.12092330413607,2.3280242768651256,-5.04340336879171,-2.6512920671857643,-1.2756075182076607,0.6113794143832427,-4.339183735878105,0.9113973378794736,-1.1442398073209945,-1.7206630353103098,10
No. 1_L_1.5 _200 _02-18-2025/0033.png,15.121430430543928,2.346285003314133,-4.942012540179975,-2.683431861957347,-1.3661600798622322,0.5261498099520612,-4.4806809894251565,0.8872232984594346,-1.1612761471357909,-1.5635061300652917,10
No. 1_L_1.5 _200 _02-18-2025/0034.png,15.11900380870798,2.3720468432444037,-5.175543766131303,-2.5670312918183846,-1.2923807863599253,0.6133548648686347,-4.461575887029959,0.9827943730891784,-1.2686152408700366,-1.6365520279425565,10
No. 1_L_1.5 _200 _02-18-2025/0035.png,15.167442394954492,2.3639161829129467,-4.895317289734036,-2.6675020922649715,-1.4503111908895452,0.6938175526942265,-4.640007246980394,0.8373807411006373,-1.2835716827228778,-1.581381674344052,10
No. 1_L_1.5 _200 _02-18-2025/0036.png,15.164050495659096,2.3563488241322794,-4.987002853964364,-2.5602040658691605,-1.4483045346095844,0.5248620092525771,-4.5525494082015765,0.938510001894655,-1.207377535488326,-1.5127883772137345,10
No. 1_L_1.5 _200 _02-18-2025/0037.png,15.17167425294664,2.3574729351275163,-4.866174591841874,-2.691246901169837,-1.5752595381837962,0.5169048213608409,-4.51079441627096,0.9173018670745554,-1.224512475003206,-1.4744692797613257,10
No. 1_L_1.5 _200 _02-18-2025/0038.png,15.134067470283023,2.333398204022007,-4.786552848503992,-2.683026492657076,-1.2974377684117346,0.6829012772115135,-4.501160609994615,0.9499715289520952,-1.1458219973634325,-1.725061650237386,10
No. 1_L_1.5 _200 _02-18-2025/0039.png,15.125531359121329,2.330931187470055,-4.941729993813017,-2.6818596692100765,-1.3776574843744775,0.6887901464714234,-4.318877281192302,0.9291645651410548,-1.2271947597513904,-1.7242343055907092,10
No. 1_L_1.5 _200 _02-18-2025/0040.png,15.11915567582189,2.330985107847823,-4.968064814258856,-2.703587090291618,-1.3035883380974989,0.7643346850725834,-4.5087025154108,0.922662058301836,-1.2151028632957146,-1.5847508810910522,10
No. 1_L_1.5 _200 _02-18-2025/0041.png,15.192049332678287,2.340634191188037,-4.729023815809971,-2.7481064067008747,-1.5272730828803764,0.5797866226552291,-4.528106812973343,0.9878519904837786,-1.2697794702384575,-1.4830918912384965,10
No. 1_L_1.5 _200 _02-18-2025/0042.png,15.134772187918038,2.32592624269172,-4.931924910760858,-2.74000130331606,-1.3535223702542272,0.7134430448468336,-4.414620801691322,0.9357542277966812,-1.1745734786735402,-1.6956537283602515,10
No. 1_L_1.5 _200 _02-18-2025/0043.png,15.122496810395807,2.356754946272797,-5.1010000309602725,-2.654388400612736,-1.2571922584832151,0.662503988256006,-4.475301455078588,1.0244060813608948,-1.1999183758831984,-1.4617523573380895,10
No. 1_L_1.5 _200 _02-18-2025/0044.png,15.165318907851244,2.348313532616986,-4.943146898868645,-2.6662119843665484,-1.4295033602185754,0.6676571543360188,-4.523827583045893,0.9744519610064756,-1.2295632110923365,-1.590681552234147,10
No. 1_L_1.5 _200 _02-18-2025/0045.png,15.13341565757571,2.35152165937577,-4.903201664610514,-2.786486155148595,-1.3948054528164846,0.6089144181895936,-4.556947296641191,1.0369701137269276,-1.264377908647284,-1.645539333185833,10
No. 1_L_1.5 _200 _02-18-2025/0046.png,15.081600065511978,2.3465876819059623,-4.934111044508309,-2.699407627207364,-1.420739538450368,0.5835836764633244,-4.413650591298008,0.8324025456137898,-1.1002744581405963,-1.5786553259410023,10
No. 1_L_1.5 _200 _02-18-2025/0047.png,15.169384955516469,2.338486535873546,-4.823131846102316,-2.738269234583748,-1.45467011746093,0.6007811665552376,-4.366344773160236,0.8835527150944857,-1.238419962474799,-1.4869593034880886,10
No. 1_L_1.5 _200 _02-18-2025/0048.png,15.140864125956174,2.330562346407575,-4.875330275523305,-2.6569878809034977,-1.3431794820260734,0.7744645361426734,-4.464492609583756,0.8294625122603501,-1.197937924729502,-1.5798623537007226,10
No. 1_L_1.5 _200 _02-18-2025/0049.png,15.155834708898364,2.3380425522113377,-4.99940407640539,-2.599056504729722,-1.3214742022387131,0.6923075297198755,-4.424806161773841,0.9625141793036828,-1.2256711974665928,-1.6030058139870098,10
No. 1_L_1.5 _200 _02-18-2025/0050.png,15.170285555978698,2.306123041300559,-4.6614912690074375,-2.8080704272208346,-1.397552276785487,0.6751141729671062,-4.316939405299218,0.8495115678675598,-1.1584857646416171,-1.5637599782833678,10
No. 1_L_1.5 _200 _02-18-2025/0051.png,15.147749830096563,2.3570895527040534,-4.968768450117979,-2.554520778498882,-1.5197697173551576,0.6174978156785365,-4.428451583103731,1.1242364370930131,-1.1710481938760835,-1.5717854659442316,10
No. 1_L_1.5 _200 _02-18-2025/0052.png,15.156308927360634,2.3552337936152394,-4.954923478872347,-2.539824284788352,-1.478551313702579,0.6566244252535895,-4.466533452838627,0.9518888146770008,-1.250160388888483,-1.593242762949142,10
No. 1_L_1.5 _200 _02-18-2025/0053.png,15.138207952621542,2.340687597256064,-4.994475946407854,-2.646434159109868,-1.239883145427454,0.5483040984852838,-4.519131637094334,0.9378090634700031,-1.2129128199317012,-1.4409687814883096,10
No. 1_L_1.5 _200 _02-18-2025/0054.png,15.190914283325007,2.333953752778081,-4.802512052029839,-2.6965756238166207,-1.3596807696740454,0.6054113381643464,-4.339262853969485,0.9237337971031296,-1.2994823377079532,-1.5169902292211397,10
No. 1_L_1.5 _200 _02-18-2025/0055.png,15.104626794383377,2.344026058088538,-4.965953165788108,-2.876164737992144,-1.387055489200872,0.7214862414399059,-4.435090694824817,0.8758969231508553,-1.1842908789535656,-1.7139812537112888,10
No. 1_L_1.5 _200 _02-18-2025/0056.png,15.143161901388757,2.3687331715018285,-4.966252357380758,-2.6977893840942326,-1.4856833455281082,0.5486347221596635,-4.561158800036978,1.0720049394590303,-1.2957676005183776,-1.564381272426962,10
