,0,1,2,3,4,5,6,7,8,9
No. 1_L_1.5 _200 _02-18-2025/0001.png,-2.8079695714097177,2.9755138160211287,-0.5033179575795312,-3.4870942287788873,-1.3929609511047816,3.5883256467228004,1.8111517655145917,0.8576311559112098,-1.0384864880478346,-2.0261248205778166
No. 1_L_1.5 _200 _02-18-2025/0002.png,-2.987031428687078,2.9840147932939796,-0.5563558322998947,-3.5009154938805787,-1.6234964342404976,3.606415109482962,1.5812201473515963,0.9727024428846285,-1.1315716712461052,-1.8353233667464657
No. 1_L_1.5 _200 _02-18-2025/0003.png,-3.222261952896244,3.1679518648976392,-0.944212704861302,-3.2812006723557983,-2.1480120222964483,3.9137653687199703,1.8367293734312011,1.1608385049367058,-0.9097932879673192,-1.6573463429847828
No. 1_L_1.5 _200 _02-18-2025/0004.png,-3.3118189128645064,3.2041006467697377,-1.3337970790374136,-2.7409664029910683,-1.7608859444075935,3.6767150228435166,1.6026270636192068,1.5965309847693288,-0.9479691360475753,-1.5794110871883558
No. 1_L_1.5 _200 _02-18-2025/0005.png,-3.0949913071865662,3.5798935774302842,-1.2244033930871847,-2.566164858121269,-1.6202883590993484,4.195486870665459,1.6565991762553571,1.378288640843282,-1.0372579584328918,-1.029481334722134
No. 1_L_1.5 _200 _02-18-2025/0006.png,-2.956073612044899,3.700143363338752,-1.0842535964416697,-2.4600511092391457,-1.7055657119803471,4.222702942000611,1.7718048624450677,1.325144661090608,-1.0319806984781936,-1.0529845049704907
No. 1_L_1.5 _200 _02-18-2025/0007.png,-2.965907711619657,3.484524289176025,-1.036348342002686,-2.6730392296676344,-1.6461278827898114,3.940662909123279,2.033567035517499,1.3645726222745242,-0.9621924467824596,-1.1011975958533555
No. 1_L_1.5 _200 _02-18-2025/0008.png,-2.9986153712447736,3.4344044514352157,-1.0084268432905716,-2.867371686267849,-1.5852559270343698,3.9944593054217683,1.9128141505306056,1.369706835116867,-1.0480629741982097,-1.1401537488811848
No. 1_L_1.5 _200 _02-18-2025/0009.png,-2.986762616930161,3.455407860081719,-1.1636469931541331,-2.8300907469361887,-1.8331209834518964,4.12384379898856,1.9450193594315115,1.4572643419930635,-1.0756269008913295,-0.9373997360211885
No. 1_L_1.5 _200 _02-18-2025/0010.png,-2.995983090470882,3.388554887776949,-0.9685209164561126,-3.034202458464101,-1.6931052797716446,4.281901043497598,2.040867827505797,1.398097279222151,-1.0528010062691726,-1.0057112793800358
No. 1_L_1.5 _200 _02-18-2025/0011.png,-3.059369771074051,3.625243473917008,-1.194644878741375,-2.9899799936462728,-1.7240965492937694,4.214305762058711,1.8783955492953637,1.3935104526721815,-1.19646468288375,-0.9750873651527487
